Date,Price,Open,High,Low,Vol.,Change %
10/28/2015,2084.50,"2,062.00","2,085.25","2,055.50",1.89M,1.16%
10/29/2015,2083.00,"2,081.00","2,086.50","2,073.25",1.41M,-0.07%
10/30/2015,2073.75,"2,084.75","2,094.75","2,069.75",1.75M,-0.44%
11/2/2015,2095.50,"2,073.00","2,100.00","2,064.25",1.28M,1.05%
11/3/2015,2103.00,"2,093.25","2,110.25","2,089.00",1.35M,0.36%
11/4/2015,2094.75,"2,102.50","2,109.75","2,090.50",1.55M,-0.39%
11/5/2015,2094.00,"2,095.50","2,104.75","2,084.00",1.54M,-0.04%
11/6/2015,2093.75,"2,094.75","2,099.00","2,077.50",1.85M,-0.01%
11/9/2015,2073.00,"2,092.00","2,097.75","2,062.00",1.86M,-0.99%
11/10/2015,2078.00,"2,072.25","2,079.00","2,064.50",1.29M,0.24%
11/11/2015,2069.00,"2,076.50","2,087.25","2,067.75",1.17M,-0.43%
11/12/2015,2040.50,"2,068.50","2,077.50","2,039.50",1.81M,-1.38%
11/13/2015,2018.50,"2,040.50","2,046.00","2,011.50",2.13M,-1.08%
11/16/2015,2048.00,"2,006.50","2,051.00","1,998.50",1.71M,1.46%
11/17/2015,2049.00,"2,047.75","2,063.50","2,041.50",1.62M,0.05%
11/18/2015,2079.75,"2,049.75","2,082.50","2,043.00",1.54M,1.50%
11/19/2015,2079.25,"2,078.25","2,089.25","2,075.25",1.28M,-0.02%
11/20/2015,2088.75,"2,078.25","2,094.50","2,076.00",1.27M,0.46%
11/23/2015,2084.25,"2,089.75","2,093.00","2,078.25",976.10K,-0.22%
11/24/2015,2084.75,"2,083.00","2,091.50","2,065.50",1.52M,0.02%
11/25/2015,2088.00,"2,084.00","2,092.50","2,082.25",746.32K,0.16%
11/26/2015,2095.75,"2,089.50","2,098.25","2,088.50",-,0.37%
11/27/2015,2090.00,"2,089.50","2,098.25","2,081.50",653.39K,-0.27%
11/30/2015,2079.75,"2,089.50","2,095.00","2,078.50",1.39M,-0.49%
12/1/2015,2100.00,"2,085.50","2,101.50","2,083.50",1.48M,0.97%
12/2/2015,2081.50,"2,099.50","2,105.00","2,075.00",1.73M,-0.88%
