Date,Price,Open,High,Low,Change %
17-Oct-16,1.0999,1.0975,1.1011,1.0964,0.26%
18-Oct-16,1.098,1.1,1.1029,1.097,-0.17%
19-Oct-16,1.0974,1.098,1.1005,1.0955,-0.05%
20-Oct-16,1.093,1.0974,1.1041,1.0916,-0.40%
21-Oct-16,1.0884,1.0929,1.0933,1.0859,-0.42%
24-Oct-16,1.0883,1.0879,1.0903,1.0861,-0.01%
25-Oct-16,1.0888,1.0882,1.0906,1.085,0.05%
26-Oct-16,1.0909,1.0889,1.0947,1.0872,0.19%
27-Oct-16,1.0897,1.0909,1.0945,1.0884,-0.11%
28-Oct-16,1.0987,1.0899,1.0995,1.0893,0.83%
31-Oct-16,1.0981,1.0986,1.0994,1.0936,-0.05%
1-Nov-16,1.1056,1.0981,1.1072,1.0958,0.68%
2-Nov-16,1.1097,1.1056,1.1125,1.1051,0.37%
3-Nov-16,1.1105,1.1099,1.1128,1.1059,0.07%
4-Nov-16,1.1138,1.1105,1.1146,1.108,0.30%
7-Nov-16,1.104,1.1137,1.1139,1.1029,-0.88%
8-Nov-16,1.1026,1.1042,1.107,1.1008,-0.13%
9-Nov-16,1.091,1.1023,1.13,1.0902,-1.05%
10-Nov-16,1.0893,1.0911,1.0958,1.0866,-0.16%
11-Nov-16,1.0856,1.0897,1.0929,1.0833,-0.34%
14-Nov-16,1.0737,1.085,1.0852,1.0709,-1.10%
15-Nov-16,1.0721,1.0736,1.0817,1.0712,-0.15%
16-Nov-16,1.069,1.0724,1.0763,1.0668,-0.29%
17-Nov-16,1.0626,1.069,1.0746,1.0617,-0.60%
18-Nov-16,1.0588,1.0625,1.0645,1.057,-0.36%
21-Nov-16,1.063,1.0583,1.0652,1.0578,0.40%
22-Nov-16,1.0626,1.0627,1.066,1.0583,-0.04%
23-Nov-16,1.0559,1.063,1.0647,1.0527,-0.63%
24-Nov-16,1.0554,1.0554,1.0587,1.0517,-0.05%
25-Nov-16,1.0587,1.0551,1.0631,1.0538,0.31%
28-Nov-16,1.0615,1.0595,1.0686,1.0562,0.26%
29-Nov-16,1.065,1.0615,1.0657,1.0565,0.33%
30-Nov-16,1.0588,1.0649,1.0669,1.0554,-0.58%
1-Dec-16,1.0662,1.059,1.067,1.0584,0.70%
2-Dec-16,1.0673,1.0662,1.0692,1.0626,0.10%
5-Dec-16,1.0764,1.0674,1.0798,1.0505,0.85%
6-Dec-16,1.0719,1.0764,1.0787,1.0698,-0.42%
7-Dec-16,1.0753,1.0721,1.077,1.0709,0.32%
8-Dec-16,1.0615,1.0754,1.0873,1.0595,-1.28%
9-Dec-16,1.0562,1.0618,1.0632,1.0531,-0.50%
12-Dec-16,1.0635,1.0551,1.0652,1.0523,0.69%
13-Dec-16,1.0627,1.0635,1.0668,1.0603,-0.08%
14-Dec-16,1.0536,1.0627,1.0671,1.0495,-0.86%
15-Dec-16,1.0414,1.0536,1.0544,1.0366,-1.16%
16-Dec-16,1.0451,1.0419,1.0477,1.0402,0.36%
19-Dec-16,1.0402,1.0442,1.0479,1.0391,-0.47%
20-Dec-16,1.0387,1.0405,1.0419,1.0352,-0.14%
21-Dec-16,1.0425,1.039,1.0453,1.0381,0.37%
22-Dec-16,1.0437,1.0423,1.0501,1.0421,0.12%
23-Dec-16,1.0456,1.0437,1.047,1.0427,0.18%
26-Dec-16,1.0456,1.0454,1.0473,1.0439,0.00%
27-Dec-16,1.0457,1.0453,1.0465,1.0431,0.01%
