Date,Price,Open,High,Low,Change %
25-Oct-16,104.23,104.18,104.88,104.1,0.04%
26-Oct-16,104.47,104.22,104.62,104,0.23%
27-Oct-16,105.29,104.46,105.35,104.28,0.78%
28-Oct-16,104.7,105.28,105.55,104.47,-0.56%
31-Oct-16,104.82,104.69,105.23,104.25,0.11%
1-Nov-16,104.16,104.84,105.14,103.81,-0.63%
2-Nov-16,103.31,104.14,104.19,103,-0.82%
3-Nov-16,102.98,103.31,103.45,102.56,-0.32%
4-Nov-16,103.14,102.98,103.37,102.83,0.16%
7-Nov-16,104.47,103.14,104.64,103.09,1.29%
8-Nov-16,105.16,104.46,105.22,104.29,0.66%
9-Nov-16,105.67,105.14,105.91,101.17,0.48%
10-Nov-16,106.83,105.67,106.95,104.97,1.10%
11-Nov-16,106.68,106.82,106.94,106.01,-0.14%
14-Nov-16,108.42,106.54,108.56,106.53,1.63%
15-Nov-16,109.17,108.42,109.36,107.77,0.69%
16-Nov-16,109.08,109.19,109.77,108.78,-0.08%
17-Nov-16,110.11,109.08,110.2,108.55,0.94%
18-Nov-16,110.95,110.13,110.98,109.8,0.76%
21-Nov-16,110.83,110.93,111.4,110.46,-0.11%
22-Nov-16,111.12,110.81,111.36,110.23,0.26%
23-Nov-16,112.52,111.11,112.98,110.83,1.26%
24-Nov-16,113.34,112.53,113.58,112.39,0.73%
25-Nov-16,113.08,113.34,113.91,112.55,-0.23%
28-Nov-16,111.94,113.05,113.12,111.33,-1.01%
29-Nov-16,112.39,111.94,113.36,111.61,0.40%
30-Nov-16,114.47,112.41,114.56,112.05,1.85%
1-Dec-16,114.09,114.45,114.83,113.81,-0.33%
2-Dec-16,113.58,114.1,114.25,113.33,-0.45%
5-Dec-16,113.84,113.55,114.8,112.86,0.23%
6-Dec-16,114.02,113.88,114.22,113.5,0.16%
7-Dec-16,113.77,114,114.41,113.39,-0.22%
8-Dec-16,114.03,113.73,114.39,113.14,0.23%
9-Dec-16,115.4,114.04,115.4,114,1.20%
12-Dec-16,115.03,115.22,116.12,114.83,-0.32%
13-Dec-16,115.19,115.03,115.5,114.73,0.14%
14-Dec-16,117.05,115.17,117.39,114.75,1.61%
15-Dec-16,118.17,117.05,118.67,116.97,0.96%
16-Dec-16,117.99,118.18,118.43,117.45,-0.15%
19-Dec-16,117.08,117.89,118.03,116.53,-0.77%
20-Dec-16,117.88,117.11,118.28,116.99,0.68%
21-Dec-16,117.55,117.84,118.07,117.08,-0.28%
22-Dec-16,117.54,117.58,117.9,117.26,-0.01%
23-Dec-16,117.35,117.55,117.67,117.18,-0.16%
26-Dec-16,117.09,117.38,117.4,116.99,-0.22%
27-Dec-16,117.42,117.09,117.64,117.08,0.28%
28-Dec-16,117.25,117.41,117.83,117.05,-0.14%
29-Dec-16,116.55,117.25,117.27,116.2,-0.60%
30-Dec-16,116.89,116.56,117.22,116.05,0.29%
2-Jan-17,117.53,116.92,117.69,116.72,0.55%
3-Jan-17,117.75,117.55,118.61,117.2,0.19%
4-Jan-17,117.27,117.77,118.19,117.05,-0.41%
